namedate,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2021-01-31-19-california-riverside,57.1,12,3.2,1,100,76.5,26,0.457,58,0.362,21,0.207,12,0.5,6,5,200,83.1,12.8,5,8,59,,7,5,0.517,30,0.367,11,42.5,31,0.463,18.1,14,28,0.357,10,0.375,3,"January 31, 2021",69.2,18,10.7,3,83.1,87.2,34,0.524,62,0.419,26,0.097,6,1,6,4,200,100,23.5,8,14,71,,9.9,7,0.5,31,0.419,13,57.5,42,0.547,16.7,13,31,0.419,13,0.667,8,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-SAN-DIEGO,UC-San Diego,71.3,Home,CALIFORNIA-RIVERSIDE,UC-Riverside
2021-02-07-16-california-san-diego,26.1,6,13,3,132.9,71.9,23,0.431,65,0.354,23,0.169,11,0.727,8,0,200,84.2,16.3,7,11,64,,6.6,5,0.508,33,0.303,10,40,30,0.456,16.7,14,32,0.406,13,0,0,"February 7, 2021",71.4,25,3.1,1,84.2,83.7,36,0.676,68,0.515,35,0.176,12,0.75,9,5,200,132.9,28.1,9,9,101,,9.2,7,0.662,45,0.489,22,60,45,0.685,13.1,11,23,0.565,13,0.444,4,"RIMAC Arena, La Jolla, California","Bethesda University (CA)
			","Bethesda University (CA)
			",76.5,Home,CALIFORNIA-SAN-DIEGO,UC-San Diego
2021-02-12-19-cal-state-bakersfield,61.5,16,0,0,116.9,59.4,19,0.593,54,0.481,26,0.148,8,0.875,7,6,200,109.2,24,6,16,71,,3.1,2,0.593,32,0.375,12,43.9,25,0.614,19.6,14,22,0.636,14,0.4,4,"February 12, 2021",61.3,19,9.1,2,109.2,76,19,0.574,61,0.508,31,0.197,12,0.5,6,7,200,116.9,40.6,13,14,76,,12.3,8,0.426,26,0.308,8,56.1,32,0.57,13.1,10,35,0.657,23,0.65,13,"Icardo Center, Bakersfield, California",CALIFORNIA-SAN-DIEGO,UC-San Diego,64.8,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield
2020-11-29-19-california-santa-barbara,56.5,13,4.3,2,129.6,55.2,16,0.433,60,0.383,23,0.067,4,0.75,3,0,200,77.5,12.1,4,14,55,,5.6,4,0.367,22,0.273,6,32.3,20,0.444,17.4,13,38,0.447,17,0,0,"November 29, 2020",60,24,5.3,2,77.5,87.9,29,0.611,72,0.556,40,0.139,10,0.4,4,0,200,129.6,44.8,13,9,92,,14.1,10,0.361,26,0.308,8,67.7,42,0.599,9.5,8,46,0.696,32,1,1,"The Thunderdome, Santa Barbara, California","St. Katherine
			","St. Katherine
			",71.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2020-12-03-20-california-santa-barbara,55.6,10,0,0,161.8,37,10,0.409,55,0.327,18,0.291,16,0.438,7,0,200,68.4,4.9,2,21,52,,7.9,6,0.436,24,0.375,9,17.6,12,0.415,20.5,16,31,0.29,9,0,0,"December 3, 2020",69.4,34,22.6,7,68.4,95.1,39,0.757,72,0.681,49,0.306,22,0.636,14,0,200,161.8,63,17,10,123,,10.5,8,0.333,24,0.458,11,82.4,56,0.746,10.9,10,48,0.792,38,1,2,"The Thunderdome, Santa Barbara, California","Bethesda University (CA)
			","Bethesda University (CA)
			",76,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2020-12-07-20-california-santa-barbara,38.9,7,3,1,104.5,80.8,21,0.314,59,0.305,18,0.525,31,0.677,21,3,200,87.9,48.7,19,16,58,,4.5,3,0.237,14,0.071,1,61.5,40,0.393,16.2,14,45,0.378,17,0.4,2,"December 7, 2020",66.7,16,13.3,6,87.9,51.3,20,0.55,50,0.48,24,0.36,18,0.778,14,0,200,104.5,19.2,5,25,69,,9.1,6,0.34,17,0.412,7,38.5,25,0.589,14.7,10,33,0.515,17,1,3,"The Thunderdome, Santa Barbara, California",LOYOLA-MARYMOUNT,Loyola Marymount,66.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2020-12-12-17-loyola-marymount,68,17,10,3,114.1,82.6,19,0.587,52,0.481,25,0.385,20,0.75,15,1,200,107,14.3,4,18,76,,9.9,7,0.462,24,0.458,11,45.1,23,0.618,15.3,11,28,0.5,14,0.75,3,"December 12, 2020",50,14,3.6,1,107,85.7,24,0.632,53,0.528,28,0.358,19,0.737,14,3,200,114.1,17.4,4,23,81,,7,5,0.434,23,0.478,11,54.9,28,0.653,20.7,16,30,0.567,17,0.5,3,"Albert Gersten Pavilion, Los Angeles, California",CALIFORNIA-SANTA-BARBARA,UCSB,71.3,Home,LOYOLA-MARYMOUNT,Loyola Marymount
2020-12-19-18-pepperdine,80,20,5.1,2,87.5,85.7,30,0.536,55,0.455,25,0.418,23,0.696,16,1,200,104.2,23.3,7,21,75,,8.3,6,0.418,23,0.391,9,56.9,37,0.569,15.6,12,32,0.5,16,0.8,4,"December 19, 2020",59.1,13,9.4,3,104.2,76.7,23,0.412,57,0.386,22,0.351,20,0.8,16,4,200,87.5,14.3,5,18,63,,9.7,7,0.316,18,0.167,3,43.1,28,0.474,15.4,12,39,0.487,19,0.5,4,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,72.2,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2020-12-27-19-california-irvine,38.9,7,2,1,105.6,77.8,21,0.348,56,0.321,18,0.464,26,0.654,17,2,200,78.9,20.6,7,14,56,,9.9,7,0.446,25,0.12,3,45.9,28,0.41,11.8,9,31,0.484,15,0.667,4,"December 27, 2020",45.2,14,3.2,1,78.9,79.4,27,0.56,58,0.534,31,0.224,13,0.769,10,4,200,105.6,22.2,6,20,75,,9.9,7,0.121,7,0.429,3,54.1,33,0.584,18,14,51,0.549,28,0.5,4,"Bren Events Center, Irvine, California",CALIFORNIA-SANTA-BARBARA,UCSB,71.3,Home,CALIFORNIA-IRVINE,UC-Irvine
2020-12-28-19-california-irvine,47.6,10,2.7,1,107.4,69.6,16,0.472,53,0.396,21,0.358,19,1,19,3,200,101.5,25.9,7,18,69,,7.4,5,0.377,20,0.4,8,46,23,0.556,14,10,33,0.394,13,0.571,4,"December 28, 2020",33.3,8,9.1,3,101.5,74.1,20,0.509,54,0.444,24,0.37,20,0.9,18,4,200,107.4,30.4,7,20,73,,7.4,5,0.315,17,0.412,7,54,27,0.575,18.2,14,37,0.459,17,0.556,5,"Bren Events Center, Irvine, California",CALIFORNIA-SANTA-BARBARA,UCSB,67.8,Home,CALIFORNIA-IRVINE,UC-Irvine
2021-01-01-20-california-santa-barbara,38.5,10,2,1,114.1,61.3,19,0.518,55,0.473,26,0.182,10,0.6,6,1,200,88.7,10.7,3,16,63,,5.6,4,0.291,16,0.313,5,37.3,22,0.527,22.3,17,39,0.538,21,0.5,1,"January 1, 2021",64.7,22,10.3,4,88.7,89.3,25,0.578,64,0.531,34,0.203,13,0.538,7,3,200,114.1,38.7,12,16,81,,12.7,9,0.234,15,0.4,6,62.7,37,0.577,13.6,11,49,0.571,28,0.625,5,"The Thunderdome, Santa Barbara, California",CAL-STATE-FULLERTON,Cal State Fullerton,71.5,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-02-20-california-santa-barbara,52.9,9,2.6,1,91.5,77.4,24,0.467,45,0.378,17,0.422,19,1,19,2,200,85.9,16,4,22,61,,4.2,3,0.311,14,0.571,8,50,28,0.565,29.2,22,31,0.29,9,0.333,1,"January 2, 2021",80,16,12.9,4,85.9,84,21,0.377,57,0.351,20,0.474,27,0.815,22,3,200,91.5,22.6,7,17,65,,19.7,14,0.333,19,0.158,3,50,28,0.465,10.4,8,38,0.447,17,0.667,6,"The Thunderdome, Santa Barbara, California",CAL-STATE-FULLERTON,Cal State Fullerton,71.4,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-15-20-california-santa-barbara,84.2,16,4.3,2,100,60,21,0.469,49,0.388,19,0.224,11,0.545,6,2,200,75.4,9.7,3,12,52,,4.3,3,0.469,23,0.348,8,36.4,24,0.479,26.1,19,26,0.423,11,0.5,2,"January 15, 2021",58.6,17,7.7,2,75.4,90.3,28,0.485,66,0.439,29,0.152,10,0.5,5,3,200,100,40,14,10,69,,14.5,10,0.303,20,0.3,6,63.6,42,0.488,13.5,11,46,0.5,23,0.7,7,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SAN-DIEGO,UC-San Diego,69,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-16-20-california-santa-barbara,42.1,8,0,0,125.4,63,17,0.406,53,0.358,19,0.226,12,0.833,10,3,200,79.1,17.1,6,14,53,,4.5,3,0.453,24,0.208,5,37.1,23,0.451,17.1,12,29,0.483,14,0.4,2,"January 16, 2021",70.6,24,10.3,3,79.1,82.9,29,0.613,62,0.548,34,0.194,12,0.667,8,3,200,125.4,37,10,15,84,,4.5,3,0.323,20,0.4,8,62.9,39,0.62,15.1,12,42,0.619,26,0.727,8,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SAN-DIEGO,UC-San Diego,67.2,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-22-19-cal-state-northridge,56.4,22,5.7,2,79.5,78.4,29,0.695,64,0.609,39,0.359,23,0.696,16,3,200,143.8,42.9,12,13,105,,20.5,15,0.297,19,0.579,11,63.1,41,0.701,10.8,9,45,0.622,28,0.75,9,"January 22, 2021",22.7,5,6.7,3,143.8,57.1,16,0.417,60,0.367,22,0.167,10,0.8,8,5,200,79.5,21.6,8,17,58,,6.8,5,0.417,25,0.24,6,36.9,24,0.448,20.9,17,35,0.457,16,0.5,5,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.8,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-23-19-cal-state-northridge,48.1,13,2.5,1,98.5,86.7,26,0.6,50,0.54,27,0.46,23,0.87,20,3,200,119.4,16.7,4,20,80,,3,2,0.32,16,0.375,6,55.6,30,0.657,11.7,8,34,0.618,21,0.769,10,"January 23, 2021",48,12,5.9,2,119.4,83.3,20,0.5,55,0.455,25,0.291,16,0.688,11,6,200,98.5,13.3,4,19,66,,6,4,0.273,15,0.333,5,44.4,24,0.527,13.9,10,40,0.5,20,0.455,5,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,66.8,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-29-19-california-davis,53.3,16,13.6,6,76.1,77.5,31,0.637,51,0.588,30,0.255,13,0.538,7,3,200,107.5,17.4,4,17,72,,7.5,5,0.275,14,0.357,5,55.6,35,0.63,17.5,12,37,0.676,25,0.786,11,"January 29, 2021",38.9,7,2.7,1,107.5,82.6,19,0.336,58,0.31,18,0.276,16,0.75,12,4,200,76.1,22.5,9,13,51,,9,6,0.241,14,0.214,3,44.4,28,0.389,15.6,12,44,0.341,15,0.429,3,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,66.9,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2021-01-30-19-california-davis,42.9,12,0,0,108.9,71,22,0.588,57,0.491,28,0.491,28,0.786,22,3,225,112.7,17.2,5,25,89,,6.3,5,0.386,22,0.5,11,45,27,0.633,16.8,14,35,0.486,17,0.8,12,"January 30, 2021",33.3,9,8.6,3,112.7,82.8,24,0.508,61,0.443,27,0.475,29,0.828,24,5,225,108.9,29,9,25,86,,5.1,4,0.311,19,0.421,8,55,33,0.575,15,13,42,0.452,19,0.375,3,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,70.3,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2021-02-12-23-hawaii,50,11,16.7,6,76.9,76.7,23,0.392,60,0.367,22,0.25,15,0.8,12,3,200,90.8,29,9,14,59,,9.2,6,0.267,16,0.188,3,52.5,32,0.439,9.5,7,44,0.432,19,0.812,13,"February 12, 2021",27.8,5,4.5,2,90.8,71,22,0.37,54,0.333,18,0.204,11,0.909,10,6,200,76.9,23.3,7,17,50,,4.6,3,0.333,18,0.222,4,47.5,29,0.422,16.9,12,36,0.389,14,0.538,7,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,64.7,Away,CALIFORNIA-SANTA-BARBARA,UCSB
2020-11-25-19-oregon-state,39.1,9,6.4,3,101.4,65.8,25,0.448,58,0.397,23,0.241,14,0.786,11,1,200,90,15.2,5,20,63,,11.4,8,0.431,25,0.24,6,42.3,30,0.487,14.6,11,33,0.515,17,0,0,"November 25, 2020",53.8,14,9.1,3,90,84.8,28,0.491,58,0.448,26,0.379,22,0.636,14,0,200,101.4,34.2,13,14,71,,7.1,5,0.19,11,0.455,5,57.7,41,0.519,16.1,13,47,0.447,21,1,1,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA,California,69.6,Home,OREGON-STATE,Oregon State
2020-11-26-18-california,56,14,2.4,1,108.9,63.9,23,0.432,66,0.379,25,0.212,14,0.286,4,0,200,77.2,12.2,5,26,61,,12.7,10,0.379,25,0.28,7,36.4,28,0.42,14.3,12,41,0.439,18,0,0,"November 26, 2020",61.3,19,7.3,3,77.2,87.8,36,0.557,61,0.508,31,0.508,31,0.581,18,1,200,108.9,36.1,13,19,86,,10.1,8,0.328,20,0.3,6,63.6,49,0.568,16.7,15,41,0.61,25,0.5,1,"Gill Coliseum, Corvallis, Oregon","Northwest University
			","Northwest University
			",78.7,Home,CALIFORNIA,California
2020-11-30-19-california,45,9,16.7,4,87,75,24,0.383,60,0.333,20,0.1,6,0.5,3,2,200,71,28.6,10,20,49,,14.5,10,0.317,19,0.316,6,50.7,34,0.39,21.3,17,41,0.341,14,0.5,2,"November 30, 2020",60,12,7.3,3,71,71.4,25,0.5,50,0.4,20,0.3,15,0.667,10,1,200,87,25,8,11,60,,10.1,7,0.52,26,0.385,10,49.3,33,0.525,26.1,20,24,0.417,10,0.667,2,"Haas Pavilion, Berkeley, California",NICHOLLS-STATE,Nicholls State,69.5,Home,CALIFORNIA,California
2020-12-03-22-california,42.3,11,10.3,3,86.1,70,21,0.558,52,0.5,26,0.308,16,0.75,12,1,200,97.2,11.1,3,19,70,25,4.2,3,0.404,21,0.286,6,42.1,24,0.587,19.2,14,31,0.645,20,0.75,3,"December 3, 2020",45.5,10,3.2,1,97.2,88.9,24,0.464,55,0.4,22,0.309,17,0.647,11,2,200,86.1,30,9,17,62,,5.6,4,0.473,26,0.269,7,57.9,33,0.491,23.3,19,29,0.517,15,0.5,2,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,71.8,Away,ARIZONA-STATE,Arizona State
2020-12-06-20-ucla,50,11,0,0,122.6,76,19,0.541,49,0.449,22,0.102,5,0.6,3,3,200,90.3,10.7,3,18,56,,4.8,3,0.531,26,0.346,9,41.5,22,0.545,20.2,13,23,0.565,13,0.4,2,"December 6, 2020",76.7,23,0,0,90.3,89.3,25,0.68,50,0.6,30,0.3,15,0.533,8,1,200,122.6,24,6,10,76,,9.7,6,0.28,14,0.571,8,58.5,31,0.665,16.3,11,36,0.611,22,0.75,3,"Pauley Pavilion, Los Angeles, California",CALIFORNIA,California,61.8,Home,UCLA,UCLA
2020-12-09-21-pepperdine,47.6,10,3.2,1,110.4,85.7,24,0.443,53,0.396,21,0.396,21,0.714,15,4,200,92.5,34.4,11,16,62,,9,6,0.453,24,0.208,5,58.3,35,0.492,19.4,15,29,0.552,16,0.333,2,"December 9, 2020",72.4,21,10.3,3,92.5,65.6,21,0.614,57,0.509,29,0.088,5,0.8,4,2,200,110.4,14.3,4,19,74,,13.4,9,0.456,26,0.462,12,41.7,25,0.623,16.9,12,31,0.548,17,0.6,3,"Firestone Fieldhouse, Malibu, California",CALIFORNIA,California,67.2,Home,PEPPERDINE,Pepperdine
2020-12-13-15-california,60.9,14,5.3,2,109.1,89.7,26,0.571,49,0.469,23,0.367,18,0.778,14,3,200,106.1,15.4,4,22,70,,6.1,4,0.469,23,0.435,10,54.5,30,0.608,16.2,11,26,0.5,13,0.625,5,"December 13, 2020",68,17,7.7,2,106.1,84.6,22,0.528,53,0.472,25,0.434,23,0.696,16,4,200,109.1,10.3,3,15,72,,9.1,6,0.283,15,0.4,6,45.5,25,0.563,8.7,6,38,0.5,19,0.429,3,"Haas Pavilion, Berkeley, California",SAN-FRANCISCO,San Francisco,65.7,Home,CALIFORNIA,California
2020-12-19-17-california,58.8,10,0,0,122.5,85.7,18,0.418,49,0.347,17,0.469,23,0.652,15,3,200,78.9,12.5,4,16,56,,5.6,4,0.347,17,0.412,7,41.5,22,0.467,20.2,15,32,0.313,10,0.5,3,"December 19, 2020",61.3,19,6.3,2,78.9,87.5,28,0.696,51,0.608,31,0.431,22,0.727,16,4,200,122.5,14.3,3,21,87,,11.3,8,0.333,17,0.529,9,58.5,31,0.708,17.6,13,34,0.647,22,0.5,4,"Haas Pavilion, Berkeley, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,71.2,Home,CALIFORNIA,California
2020-12-22-17-california,51.9,14,2.9,1,112.9,71,22,0.492,60,0.45,27,0.1,6,1,6,5,200,104.8,31,9,19,65,,6.5,4,0.383,23,0.217,5,51.7,31,0.517,10.1,7,37,0.595,22,0.5,5,"December 22, 2020",52,13,5.4,2,104.8,69,20,0.528,53,0.472,25,0.396,21,0.667,14,4,200,112.9,29,9,11,70,,4.8,3,0.358,19,0.316,6,48.3,29,0.556,13.8,10,34,0.559,19,0.556,5,"Haas Pavilion, Berkeley, California",SEATTLE,Seattle,62.4,Home,CALIFORNIA,California
2020-12-31-22-oregon,47.6,10,0,0,117.1,74.3,26,0.553,47,0.447,21,0.468,22,0.773,17,5,200,98.6,15.4,4,21,69,,2.9,2,0.532,25,0.4,10,49.2,30,0.601,22,16,22,0.5,11,0.5,5,"December 31, 2020",39.3,11,13.6,3,98.6,84.6,22,0.549,61,0.459,28,0.344,21,0.714,15,1,200,117.1,25.7,9,19,82,21,12.9,9,0.426,26,0.423,11,50.8,31,0.578,11.4,9,35,0.486,17,0.875,7,"Matthew Knight Arena, Eugene, Oregon",CALIFORNIA,California,70.2,Home,OREGON,Oregon
2021-01-02-18-oregon-state,54.5,12,2.9,1,114.1,70,21,0.581,43,0.512,22,0.651,28,0.5,14,6,200,100,25,6,22,64,,7.8,5,0.395,17,0.353,6,50,27,0.568,19,13,26,0.615,16,0.455,5,"January 2, 2021",70.8,17,11.5,3,100,75,18,0.528,54,0.444,24,0.389,21,0.762,16,3,200,114.1,30,9,22,73,,12.5,8,0.37,20,0.45,9,50,27,0.571,12.5,9,34,0.441,15,0.625,5,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA,California,63.6,Home,OREGON-STATE,Oregon State
2021-01-07-22-california,47.8,11,8.1,3,87,83.3,30,0.51,52,0.442,23,0.442,23,0.783,18,1,200,102.9,29.6,8,19,71,,7.2,5,0.346,18,0.389,7,60.3,38,0.564,18.4,14,34,0.471,16,0.9,9,"January 7, 2021",60,12,5.9,2,102.9,70.4,19,0.388,58,0.345,20,0.379,22,0.682,15,7,200,87,16.7,6,20,60,,11.6,8,0.362,21,0.238,5,39.7,25,0.438,9.4,7,37,0.405,15,0.417,5,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,69.2,Away,WASHINGTON-STATE,Washington State
2021-01-09-15-california,42.3,11,3.3,1,125.4,75,21,0.61,50,0.52,26,0.42,21,0.81,17,9,200,116.4,33.3,7,16,78,,7.5,5,0.36,18,0.5,9,57.1,28,0.65,19.1,14,32,0.531,17,0.1,1,"January 9, 2021",61.3,19,6.3,2,116.4,66.7,14,0.652,56,0.554,31,0.321,18,0.611,11,7,200,125.4,25,7,19,84,,7.5,5,0.464,26,0.423,11,42.9,21,0.651,12.3,9,30,0.667,20,0.462,6,"Haas Pavilion, Berkeley, California",WASHINGTON,Washington,66.8,Home,CALIFORNIA,California
2021-01-14-14-colorado,52.4,11,15.4,6,129,84.6,22,0.5,49,0.429,21,0.347,17,0.647,11,8,200,87,11.5,3,14,60,,4.3,3,0.388,19,0.368,7,48.1,25,0.526,19.9,14,30,0.467,14,0.429,6,"January 14, 2021",54.5,18,0,0,87,88.5,23,0.65,60,0.55,33,0.233,14,0.786,11,3,200,129,15.4,4,17,89,,8.7,6,0.35,21,0.571,12,51.9,27,0.668,9.6,7,39,0.538,21,0.769,10,"Coors Events/Conference Center, Boulder, Colorado",CALIFORNIA,California,68.9,Home,COLORADO,Colorado
2021-01-16-22-utah,48,12,10.7,3,92.6,80.8,21,0.547,53,0.472,25,0.358,19,0.737,14,8,200,105.9,20.7,6,17,72,,8.8,6,0.453,24,0.333,8,49.1,27,0.58,15.2,11,29,0.586,17,0.467,7,"January 16, 2021",76.2,16,6.9,2,105.9,79.3,23,0.471,51,0.412,21,0.314,16,0.938,15,6,200,92.6,19.2,5,19,63,,5.9,4,0.451,23,0.261,6,50.9,28,0.538,21.6,16,28,0.536,15,0.455,5,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,68.3,Away,CALIFORNIA,California
2021-01-21-21-california,41.7,10,12.9,4,89.1,93.1,27,0.5,52,0.462,24,0.231,12,0.75,9,2,200,95.3,33.3,9,11,61,24,7.8,5,0.192,10,0.4,4,64.3,36,0.529,19.6,14,42,0.476,20,0.857,12,"January 21, 2021",57.1,12,4.8,2,95.3,66.7,18,0.491,53,0.396,21,0.132,7,0.714,5,9,200,89.1,6.9,2,13,57,,7.8,5,0.415,22,0.455,10,35.7,20,0.506,15.1,10,31,0.355,11,0.438,7,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,63.5,Away,UCLA,UCLA
2021-01-23-20-california,50,12,11.1,4,103,68.8,22,0.474,58,0.414,24,0.466,27,0.778,21,3,200,115.2,42.4,14,17,76,,7.6,5,0.259,15,0.467,7,55.4,36,0.537,12.5,10,43,0.395,17,0.8,12,"January 23, 2021",41.7,10,14,6,115.2,57.6,19,0.474,58,0.414,24,0.31,18,0.722,13,10,200,103,31.3,10,23,68,,4.5,3,0.379,22,0.318,7,44.6,29,0.511,12,9,36,0.472,17,0.412,7,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,66.2,Away,SOUTHERN-CALIFORNIA,USC
2021-01-28-23-arizona-state,58.3,14,2.4,1,101.4,84.8,28,0.451,61,0.393,24,0.295,18,0.722,13,11,200,95.8,34.3,12,17,68,,2.8,2,0.393,24,0.292,7,58.8,40,0.489,16.9,14,37,0.459,17,0.389,7,"January 28, 2021",50,14,18.9,7,95.8,65.7,23,0.527,56,0.5,28,0.357,20,0.65,13,8,200,101.4,15.2,5,16,72,,11.3,8,0.25,14,0.214,3,41.2,28,0.55,13.4,10,42,0.595,25,0.385,5,"Wells Fargo Arena, Tempe, Arizona",CALIFORNIA,California,71,Home,ARIZONA-STATE,Arizona State
2021-01-30-17-arizona,44.4,8,5.1,2,110.9,66.7,16,0.457,47,0.383,18,0.234,11,0.636,7,12,200,78.1,14.3,4,17,50,,4.7,3,0.468,22,0.318,7,38.5,20,0.479,23.6,16,25,0.44,11,0.368,7,"January 30, 2021",63,17,16,4,78.1,85.7,24,0.577,52,0.519,27,0.346,18,0.611,11,4,200,110.9,33.3,8,14,71,,12.5,8,0.25,13,0.462,6,61.5,32,0.586,15.5,11,39,0.538,21,0.765,13,"McKale Center, Tucson, Arizona",CALIFORNIA,California,63.9,Home,ARIZONA,Arizona
2021-02-04-21-california,46.2,12,7.1,2,80.9,82.8,24,0.583,48,0.542,26,0.5,24,0.583,14,7,200,102.9,13,3,16,70,,11.8,8,0.25,12,0.333,4,51.9,27,0.589,17,12,36,0.611,22,0.611,11,"February 4, 2021",61.1,11,5.6,2,102.9,87,20,0.42,50,0.36,18,0.3,15,0.867,13,13,200,80.9,17.2,5,19,55,,4.4,3,0.44,22,0.273,6,48.1,25,0.481,22,16,28,0.429,12,0.35,7,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,68.3,Away,STANFORD,Stanford
2021-02-07-22-stanford,52.2,12,0,0,110.1,83.3,20,0.443,61,0.377,23,0.311,19,0.842,16,14,200,101.4,25,9,20,70,,4.3,3,0.393,24,0.333,8,48.3,29,0.5,10.3,8,37,0.405,15,0.333,7,"February 7, 2021",32.1,9,13.5,5,101.4,75,27,0.604,48,0.583,28,0.625,30,0.6,18,7,200,110.1,16.7,4,16,76,,8.7,6,0.188,9,0.222,2,51.7,31,0.61,15.2,11,39,0.667,26,0.632,12,"Maples Pavilion, Stanford, California",CALIFORNIA,California,69.1,Home,STANFORD,Stanford
2021-02-11-18-california,45.8,11,15.6,5,113.6,68.2,15,0.585,47,0.511,24,0.574,27,0.778,21,7,200,115.2,16.7,4,13,76,,6.1,4,0.319,15,0.467,7,41.3,19,0.635,13.3,9,32,0.531,17,0.562,9,"February 11, 2021",39.3,11,3.1,1,115.2,83.3,20,0.593,54,0.519,28,0.241,13,0.846,11,15,200,113.6,31.8,7,23,75,,7.6,5,0.407,22,0.364,8,58.7,27,0.623,17.9,13,32,0.625,20,0.318,7,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,65.5,Away,UTAH,Utah
2020-11-30-17-campbell,31.3,5,2.6,1,113.3,67.5,27,0.315,54,0.296,16,0.463,25,0.68,17,0,200,68,26.3,10,23,51,,6.7,5,0.352,19,0.105,2,47.4,37,0.387,22.6,19,35,0.4,14,0,0,"November 30, 2020",66.7,20,2.9,1,68,73.7,28,0.5,65,0.462,30,0.446,29,0.69,20,0,200,113.3,32.5,13,21,85,,12,9,0.4,26,0.192,5,52.6,41,0.54,11.4,10,39,0.641,25,1,1,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina","St. Andrews
			","St. Andrews
			",75.3,Home,CAMPBELL,Campbell
2020-12-08-19-jacksonville,54.8,17,11.8,4,111.4,62.5,20,0.605,57,0.544,31,0.316,18,0.611,11,0,200,114.3,11.1,3,20,80,,11.4,8,0.333,19,0.368,7,39,23,0.61,11,8,38,0.632,24,1,2,"December 8, 2020",46.2,12,2.6,1,114.3,88.9,24,0.545,55,0.473,26,0.455,25,0.72,18,2,200,111.4,37.5,12,17,78,,5.7,4,0.382,21,0.381,8,61,36,0.583,17.5,14,34,0.529,18,0.6,3,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,69.7,Away,CAMPBELL,Campbell
