namedate,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2021-01-02-16-abilene-christian,52.4,11,12.2,6,110.7,59.5,22,0.451,51,0.412,21,0.471,24,0.792,19,8,200,86.7,23.3,7,20,65,,4,3,0.392,20,0.2,4,43.3,29,0.521,22.6,18,31,0.548,17,0.2,2,"January 2, 2021",70,21,9.7,3,86.7,76.7,23,0.5,69,0.435,30,0.304,21,0.667,14,2,200,110.7,40.5,15,23,83,,14.7,11,0.29,20,0.45,9,56.7,38,0.525,14.2,13,49,0.429,21,0.818,9,"Moody Coliseum , Abilene, Texas",LAMAR,Lamar,75.2,Home,ABILENE-CHRISTIAN,Abilene Christian
2021-01-06-20-houston-baptist,63,17,9.4,3,87.5,90,27,0.438,65,0.415,27,0.169,11,0.818,9,2,200,91.7,36.1,13,20,66,,8.3,6,0.338,22,0.136,3,60.6,40,0.47,15.7,13,43,0.558,24,0.833,10,"January 6, 2021",40,8,20.9,9,91.7,63.9,23,0.451,51,0.392,20,0.431,22,0.773,17,8,200,87.5,10,3,20,63,,8.3,6,0.373,19,0.316,6,39.4,26,0.513,19.8,15,32,0.438,14,0.2,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,71.8,Away,ABILENE-CHRISTIAN,Abilene Christian
2021-01-16-16-abilene-christian,54.5,6,16.7,5,104.1,71.9,23,0.361,36,0.306,11,0.778,28,0.571,16,10,200,57.5,18.5,5,28,42,,11,8,0.417,15,0.267,4,47.5,28,0.426,37.5,29,21,0.333,7,0.231,3,"January 16, 2021",87.5,21,23.8,5,57.5,81.5,22,0.528,54,0.444,24,0.5,27,0.704,19,2,200,104.1,28.1,9,26,76,,21.9,16,0.444,24,0.375,9,52.5,31,0.569,17.5,14,30,0.5,15,0.846,11,"Moody Coliseum , Abilene, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,72.6,Home,ABILENE-CHRISTIAN,Abilene Christian
2021-01-20-21-sam-houston-state,91.3,21,8.3,3,95.5,54.5,18,0.402,61,0.377,23,0.246,15,0.533,8,3,200,85.1,27.5,11,20,57,,9,6,0.311,19,0.158,3,39.7,29,0.418,14,11,42,0.476,20,0.786,11,"January 20, 2021",57.1,12,7.1,3,85.1,72.5,29,0.453,53,0.396,21,0.491,26,0.615,16,5,200,95.5,45.5,15,17,64,,7.5,5,0.321,17,0.353,6,60.3,44,0.49,19.9,16,36,0.417,15,0.706,12,"Johnson Coliseum, Huntsville, Texas",ABILENE-CHRISTIAN,Abilene Christian,67.2,Home,SAM-HOUSTON-STATE,Sam Houston State
2021-01-23-16-abilene-christian,28.6,6,3,1,120.8,73.3,22,0.426,54,0.389,21,0.296,16,0.75,12,11,200,75.3,25.8,8,23,58,,7.8,6,0.259,14,0.286,4,49.2,30,0.471,28.2,24,40,0.425,17,0.214,3,"January 23, 2021",85.3,29,15,6,75.3,74.2,23,0.625,64,0.531,34,0.281,18,0.722,13,3,200,120.8,26.7,8,18,93,,14.3,11,0.484,31,0.387,12,50.8,31,0.641,14.3,12,33,0.667,22,0.8,12,"Moody Coliseum , Abilene, Texas",CENTRAL-ARKANSAS,Central Arkansas,77.1,Home,ABILENE-CHRISTIAN,Abilene Christian
2021-01-27-20-abilene-christian,43.5,10,12.8,5,109.3,70,28,0.444,54,0.426,23,0.463,25,0.56,14,3,200,82.7,35.1,13,25,62,,10.7,8,0.148,8,0.25,2,53.2,41,0.471,25.3,22,46,0.457,21,0.75,9,"January 27, 2021",46.2,12,10.9,5,82.7,64.9,24,0.46,63,0.413,26,0.46,29,0.828,24,3,200,109.3,30,12,19,82,,9.3,7,0.381,24,0.25,6,46.8,36,0.534,12.7,11,39,0.513,20,0.812,13,"Moody Coliseum , Abilene, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,75.3,Home,ABILENE-CHRISTIAN,Abilene Christian
2021-01-30-15-incarnate-word,68,17,4.2,1,104.7,86.7,26,0.538,52,0.481,25,0.481,25,0.76,19,3,200,117.2,42.9,12,17,75,,3.1,2,0.442,23,0.261,6,65.5,38,0.587,16,12,29,0.655,19,0.824,14,"January 30, 2021",71.4,15,0,0,117.2,57.1,16,0.509,53,0.396,21,0.321,17,0.765,13,8,200,104.7,13.3,4,20,67,,10.9,7,0.547,29,0.414,12,34.5,20,0.549,11.7,8,24,0.375,9,0.429,6,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,64.5,Away,ABILENE-CHRISTIAN,Abilene Christian
2021-02-06-17-lamar,66.7,20,6.1,2,98.4,75,21,0.582,61,0.492,30,0.197,12,0.5,6,3,200,122.2,27.3,9,14,77,,17.5,11,0.361,22,0.5,11,49.2,30,0.577,9.6,7,39,0.487,19,0.833,15,"February 6, 2021",50,11,10.3,4,122.2,72.7,24,0.6,45,0.489,22,0.333,15,0.533,8,13,200,98.4,25,7,15,62,,6.3,4,0.267,12,0.833,10,50.8,31,0.595,24.8,17,33,0.364,12,0.235,4,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,63.4,Away,ABILENE-CHRISTIAN,Abilene Christian
2021-02-08-20-texas-am-corpus-christi,64.5,20,8.3,3,100,80,20,0.567,60,0.517,31,0.35,21,0.667,14,3,200,118.8,31.3,10,16,82,,11.6,8,0.25,15,0.4,6,52.6,30,0.586,10.4,8,45,0.556,25,0.842,16,"February 8, 2021",47.8,11,2.2,1,118.8,68.8,22,0.52,49,0.469,23,0.408,20,0.9,18,13,200,100,20,5,18,69,,2.9,2,0.265,13,0.385,5,47.4,27,0.59,21.7,16,36,0.5,18,0.188,3,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,68.7,Away,ABILENE-CHRISTIAN,Abilene Christian
2021-02-10-20-abilene-christian,55,11,14,6,108.6,57.5,23,0.393,56,0.357,20,0.411,23,0.652,15,13,200,72.8,30.3,10,17,59,,17.3,14,0.375,21,0.19,4,45.2,33,0.441,26.6,24,35,0.457,16,0.188,3,"February 10, 2021",78.8,26,11.4,4,72.8,69.7,23,0.556,71,0.465,33,0.254,18,0.5,9,3,200,108.6,42.5,17,22,88,,22.2,18,0.394,28,0.464,13,54.8,40,0.553,19.4,19,43,0.465,20,0.85,17,"Teague Special Events Center, Abilene, Texas",HOUSTON-BAPTIST,Houston Baptist,81.2,Home,ABILENE-CHRISTIAN,Abilene Christian
